N/A,2643357,184816,Who Thought THAT Was A Good Idea? Episode 2,none specified,10/26/2007,Interview,LOGO,Sarah and Lori count down the week's dumbest celebrity and entertainment news.,who-thought-that-was-a-good-idea-episode-2,
N/A,3560262,336120,Cat on the Prowl: Faith Choyce,1/27/2009,1/27/2009,User Generated,LOGO,Cat learns tips and tricks on picking up women from Faith Choyce.,cat-on-the-prowl-faith-choyce-episode-22,
N/A,3565483,336932,Nat and Meg,none specified,1/29/2009,User Generated,LOGO,Nat and Meg interview Stacey Hopper about the love company and try to spread the love!,the-adventures-of-nat-and-meg-stacey-hopper,
N/A,3580212,338980,Nat and Meg,none specified,2/5/2009,User Generated,LOGO,Start of the Crating change conference,the-adventures-of-nat-and-meg-creating-change-conference,
N/A,3585810,339575,Retro Reviewing Fire,none specified,2/7/2009,User Generated,LOGO,Episode 24 of Retro Reviewing,retro-reviewing-fire,
N/A,3614701,343254,Nat and Meg,none specified,2/19/2009,User Generated,LOGO,Uh huh her interview,the-adventures-of-nat-and-meg-uh-huh-her,
N/A,3618176,343698,Retro Reviewing Nina's Heavenly Delights,none specified,2/20/2009,User Generated,LOGO,"Our 25th Episode, with a special",retro-reviewing-ninas-heavenly-delights,
N/A,3630903,345388,Nat and Meg,none specified,2/26/2009,User Generated,LOGO,Interview with Edie Carey,the-sweet-adventures-of-nat-and-meg-edie-carey,
N/A,3647705,348468,Retro Reviewing Episode 26,none specified,3/5/2009,User Generated,LOGO,The Reviewers tackle Boys on the Side,reto-reviewing-boys-on-the-side,
N/A,3650861,349140,Nat and Meg,none specified,3/6/2009,User Generated,LOGO,Winter party in Miami,the-sweet-adventures-of-nat-and-meg-florida,
N/A,3657285,351118,Amanda Palmer,3/10/2009,3/10/2009,User Generated,LOGO,Amanda Palmer,amanda-palmer-whats-the-use,
N/A,3664879,353458,Nat and Meg,none specified,3/12/2009,User Generated,LOGO,Daniela sea at Winterfest party,the-sweet-adventures-of-nat-and-meg-daniela-sea,
N/A,3665846,353548,Come With Me If You Want to Live:,none specified,3/12/2009,User Generated,LOGO,Come With Me If You Want to Live:,come-with-me-if-you-want-to-live-the-l-word-episode-68,
N/A,3681078,356104,Advanced P.E. with Briana Stockton: Episode 7,3/19/2009,3/19/2009,User Generated,LOGO,Advanced P.E. with Briana Stockton: Episode 7,advanced-pe-with-briana-stockton-episode-7,Duplicate
N/A,3681689,356252,Nat and Meg,none specified,3/19/2009,User Generated,LOGO,Dana Goldberg,the-sweet-adventures-of-nat-and-meg-dana-goldberg,
N/A,3687514,356828,From the Cheap Seats: Episode 38,3/21/2009,3/21/2009,User Generated,LOGO,From the Cheap Seats: Episode 38,from-the-cheap-seats-march-madness-episode-38,
N/A,3687519,356829,Retro Reviewing Mulholland Drive,none specified,3/21/2009,User Generated,LOGO,Episode 27 features Mulholland Drive,retro-reviewing-mulholland-drive,
N/A,3700795,359543,Nat and Meg,none specified,3/26/2009,User Generated,LOGO,Driftwood Fire,the-sweet-adventures-of-nat-and-meg-driftwood-fire,
N/A,3706114,365982,From the Cheap Seats: Episode 39,none specified,3/29/2009,User Generated,LOGO,From the Cheap Seats: Episode 39,from-the-cheap-seats-march-madness-upsets-episode-39,
N/A,3712405,366749,AAP: Jessica Kirson,none specified,3/31/2009,User Generated,LOGO,AAP: Jessica Kirson,NOT FOUND,"Duplicate, Post not found on afterellen.com"
N/A,3740260,368127,Nat and Meg,none specified,4/2/2009,User Generated,LOGO,"Suzanne Westenhoefer, behind the scenes",the-sweet-adventures-of-nat-and-meg-suzanne-westenhoefer,
N/A,3784638,368781,Retro Reviewing: The Incredibly True Adventures of two Girls in Love,none specified,4/4/2009,User Generated,LOGO,Episode 28,retro-reviewing-the-incredibly-true-adventures-of-2-girls-in-love,
N/A,3803032,369736,Cindy Wonderful -,none specified,4/8/2009,User Generated,LOGO,Cindy Wonderful -,cindy-wonderful-the-bathtub-song,
N/A,3807241,370193,Cat on the Prowl: Beth Malone,none specified,4/9/2009,User Generated,LOGO,Cat on the Prowl: Beth Malone,cat-on-the-prowl-beth-malone,
N/A,3809084,370361,Nat and Meg,none specified,4/9/2009,User Generated,LOGO,Behind the scenes with Suzanne-part 2,the-sweet-adventures-of-nat-and-meg-suzanne-westenhoefer-part-2,
N/A,3809726,372568,Cherry Bomb:,none specified,4/10/2009,User Generated,LOGO,Cherry Bomb:,cherry-bomb-truth-or-truth-2,
N/A,3809966,372605,Dara and Karman's Hit List: BFFs,none specified,4/10/2009,User Generated,LOGO,Dara and Karman's Hit List: BFFs,dara-karmans-hit-list-bffs-episode-18,
N/A,3811596,372763,From the Cheap Seats: Episode 41,none specified,4/11/2009,User Generated,LOGO,From the Cheap Seats: Episode 41,from-the-cheap-seats-getting-drafty-episode-41,
N/A,3812682,372953,Walking Funny With... Julie Goldman,none specified,4/13/2009,User Generated,LOGO,Walking Funny With... Julie Goldman,jennie-mcnulty-presents-walking-funny-with-julie-goldman,
N/A,3814327,373151,Gal Pals: Episode 1,4/13/2009,4/13/2009,User Generated,,Gal Pals: Episode 1,gal-pals-lindsay-and-sam-clementine-ford-and-the-eminem-video-episode-1,
N/A,3815889,373383,AAP: Michelle Paradise,none specified,4/14/2009,User Generated,LOGO,AAP: Michelle Paradise,all-access-pass-michelle-paradise,
N/A,3822304,374222,Nat and Meg,none specified,4/16/2009,User Generated,LOGO,Start of Dinah- Rea Carey in Boulder,the-sweet-adventures-of-nat-and-meg-dinah-shore-and-rea-carey,
N/A,3828877,375090,Gal Pals: Episode 2,4/21/2009,4/21/2009,User Generated,,Gal Pals: Episode 2,gal-pals-a-song-about-tegan-and-sara-rumors-about-ruby-rose-and-the-a-list-awards-episode-2,
N/A,3830395,375314,"AfterEllen.com RockBand ""Battle of the Bands"" Competition",none specified,4/20/2010,User Generated,LOGO (Quarantine),Watch your favorite AfterEllen.com vloggers rock out in the ultimate jam session of Club ...,NOT FOUND,Post not found on afterellen.com
N/A,3836634,376177,Nat and Meg,none specified,4/23/2009,User Generated,LOGO,Club skirts w/Mariah Hanson,the-sweet-adventures-of-nat-and-meg-the-dinah,
N/A,3837000,376213,Really? Really!? Episode 2,none specified,4/23/2009,User Generated,LOGO,Really? Really!? Episode 2,really-really-miss-california-on-opposite-marriage-and-kim-kardashian-on-curvy-vs-plus-sized,
N/A,3839368,376511,Retro Reviewing Imagine Me and You,none specified,4/25/2009,User Generated,LOGO,Our review of,retro-reviewing-imagine-me-and-you,
N/A,3842482,376840,Walking Funny With... Sandra Valls,none specified,4/27/2009,User Generated,LOGO,Walking Funny With... Sandra Valls,walking-funny-with-sandra-valls,
N/A,3843514,377058,Gal Pals: Episode 3,4/28/2009,4/28/2009,User Generated,,Gal Pals: Episode 3,gal-pals-ellen-page-and-drew-barrymore-rumors-and-the-best-lesbian-kiss-on-tv-episode-3,
N/A,3845484,377303,Gay Girls Who Game: Episode 51,none specified,4/28/2009,User Generated,LOGO,Gay Girls Who Game: Episode 5,gay-girls-who-game-silent-hill-homecoming-and-007-quantum-of-solace,
N/A,3845552,377310,AAP: Amanda Palmer,none specified,4/28/2009,User Generated,LOGO,AAP: Amanda Palmer,all-access-pass-amanda-palmer,
N/A,3846333,377461,Alexi's Closet: Episode 26,none specified,4/29/2009,User Generated,LOGO,Alexi's Closet: Episode 26,alexis-closet-bikini-best-episode-26,
N/A,3849441,377871,Really? Really!? Episode 3,none specified,4/30/2009,User Generated,LOGO,Really? Really!? Episode 3,really-really-swine-flu-and-an-air-force-one-publicity-stunt-episode-3,
N/A,3849455,377872,Nat and Meg,none specified,4/30/2009,User Generated,LOGO,Comedian Erin Foley-Dinah,the-sweet-adventures-of-nat-and-meg-erin-foley,
N/A,3849972,377937,Cherry Bomb:,4/30/2009,4/30/2009,User Generated,LOGO,Cherry Bomb:,cherry-bomb-women-with-children,
N/A,3851097,378079,FEED: Season 2 Trailer,none specified,5/1/2009,User Generated,LOGO,FEED: Season 2 Trailer,feed-season-2-trailer,
N/A,3853555,378375,From the Cheap Seats: Episode 44,none specified,5/2/2009,User Generated,LOGO,From the Cheap Seats: Episode 44,from-the-cheap-seats-tweet-talking-episode-44,
N/A,3855924,378761,Gal Pals: Episode 4,5/4/2009,5/4/2009,User Generated,,Gal Pals: Episode 4,gal-pals-pinks-response-to-her-reported-bisexuality-and-sam-ronsons-musical-career-episode-4,
N/A,3861639,379679,Alexi's Closet: Episode 27,none specified,5/7/2009,User Generated,LOGO,Alexi's Closet: Episode 27,alexis-closet-cleaning-out-your-closet-episode-27,
N/A,3862568,379787,Really? Really!? Episode 4,none specified,5/7/2009,User Generated,LOGO,Really? Really!? Episode 4,really-really-jon-and-kate-plus-teacher-miss-california-goes-nude-and-pinhead-oreilly-episode-4,
N/A,3863069,379811,Nat and Meg,none specified,5/8/2009,User Generated,LOGO,Indigo girls at Dinah w/Nat and Meg,the-sweet-adventures-of-nat-and-meg-indigo-girls,
N/A,3864883,380129,Retro Reviewing Lost and Delirious,none specified,5/8/2009,User Generated,LOGO,Our Review of the 2001 film,retro-reviewing-lost-and-delirious,
N/A,3869772,380658,Gal Pals: Episode 5,5/12/2009,5/12/2009,User Generated,,Gal Pals: Episode 5,gal-pals-megan-foxs-refusal-to-date-bi-girls-and-the-hot-100-episode-5,
N/A,3871191,380890,Alexi's Closet: Episode 28,none specified,5/12/2009,User Generated,LOGO,Alexi's Closet: Episode 28,alexis-closet-vacation-wear-episode-28,
N/A,3875633,381541,Nat and Meg,none specified,5/14/2009,User Generated,LOGO,Interview with Jessica Kirson,the-sweet-adventures-of-nat-and-meg-jessica-kirson,
N/A,3877516,391857,Really? Really!? Episode 5,none specified,5/15/2009,User Generated,LOGO,Really? Really!? Episode 5,really-really-megan-fox-is-bisexual-and-kanye-west-caps-at-twitter-episode-5,
